EventID,渲染Pass,DrawName,索引数,实例数,三角面数,Indirect
729,MMHRenderShadowDepths(Non-Nanite),"vkCmdDrawIndexedIndirect(1) => <49338, 4>",49338,4,65784,是
1769,MobileRenderPrePass,vkCmdDrawIndexed(),109098,1,36366,
3443,MobileBasePass,vkCmdDrawIndexed(),109098,1,36366,
1789,MobileRenderPrePass,vkCmdDrawIndexed(),90273,1,30091,
3463,MobileBasePass,vkCmdDrawIndexed(),90273,1,30091,
797,ShadowDepthPass,vkCmdDrawIndexed(),88110,1,29370,
2046,Velocity,vkCmdDrawIndexed(),88110,1,29370,
2377,Mobile_PreOutline_Pass,vkCmdDrawIndexed(),88110,1,29370,
3567,MobileBasePass,vkCmdDrawIndexed(),88110,1,29370,
1794,MobileRenderPrePass,vkCmdDrawIndexed(),68199,1,22733,
3468,MobileBasePass,vkCmdDrawIndexed(),68199,1,22733,
1799,MobileRenderPrePass,vkCmdDrawIndexed(),61476,1,20492,
3473,MobileBasePass,vkCmdDrawIndexed(),61476,1,20492,
1779,MobileRenderPrePass,vkCmdDrawIndexed(),57384,1,19128,
3453,MobileBasePass,vkCmdDrawIndexed(),57384,1,19128,
1748,MobileRenderPrePass,vkCmdDrawIndexed(),50391,1,16797,
3421,MobileBasePass,vkCmdDrawIndexed(),50391,1,16797,
2067,Velocity,vkCmdDrawIndexed(),49338,1,16446,
2627,MobileBasePass,vkCmdDrawIndexed(),49338,1,16446,
1920,MobileRenderPrePass,vkCmdDrawIndexed(),6708,7,15652,
3683,MobileBasePass,vkCmdDrawIndexed(),6708,7,15652,
3553,MobileBasePass,vkCmdDrawIndexed(),16572,2,11048,
1784,MobileRenderPrePass,vkCmdDrawIndexed(),32985,1,10995,
3458,MobileBasePass,vkCmdDrawIndexed(),32985,1,10995,
1835,MobileRenderPrePass,vkCmdDrawIndexed(),6354,4,8472,
944,MobileRenderPrePass,vkCmdDrawIndexed(),1800,14,8400,
2874,MobileBasePass,vkCmdDrawIndexed(),1800,14,8400,
1347,MobileRenderPrePass,vkCmdDrawIndexed(),22590,1,7530,
3242,MobileBasePass,vkCmdDrawIndexed(),22590,1,7530,
908,MobileRenderPrePass,vkCmdDrawIndexed(),3660,6,7320,
2868,MobileBasePass,vkCmdDrawIndexed(),3660,6,7320,
1754,MobileRenderPrePass,vkCmdDrawIndexed(),20202,1,6734,
3428,MobileBasePass,vkCmdDrawIndexed(),20202,1,6734,
1932,MobileRenderPrePass,vkCmdDrawIndexed(),4215,4,5620,
3695,MobileBasePass,vkCmdDrawIndexed(),4215,4,5620,
777,ShadowDepthPass,vkCmdDrawIndexed(),16572,1,5524,
2103,Velocity,vkCmdDrawIndexed(),16572,1,5524,
2350,Mobile_PreOutline_Pass,vkCmdDrawIndexed(),16572,1,5524,
1914,MobileRenderPrePass,vkCmdDrawIndexed(),1938,8,5168,
3677,MobileBasePass,vkCmdDrawIndexed(),1938,8,5168,
1764,MobileRenderPrePass,vkCmdDrawIndexed(),14916,1,4972,
3438,MobileBasePass,vkCmdDrawIndexed(),14916,1,4972,
1426,MobileRenderPrePass,vkCmdDrawIndexed(),3699,4,4932,
3205,MobileBasePass,vkCmdDrawIndexed(),3699,4,4932,
1210,MobileRenderPrePass,vkCmdDrawIndexed(),1992,7,4648,
3193,MobileBasePass,vkCmdDrawIndexed(),1992,7,4648,
1774,MobileRenderPrePass,vkCmdDrawIndexed(),13116,1,4372,
3448,MobileBasePass,vkCmdDrawIndexed(),13116,1,4372,
956,MobileRenderPrePass,vkCmdDrawIndexed(),1302,10,4340,
2887,MobileBasePass,vkCmdDrawIndexed(),1302,10,4340,
763,ShadowDepthPass,vkCmdDrawIndexed(),12948,1,4316,
2110,Velocity,vkCmdDrawIndexed(),12948,1,4316,
2357,Mobile_PreOutline_Pass,vkCmdDrawIndexed(),12948,1,4316,
3526,MobileBasePass,vkCmdDrawIndexed(),12948,1,4316,
1938,MobileRenderPrePass,vkCmdDrawIndexed(),4278,3,4278,
3701,MobileBasePass,vkCmdDrawIndexed(),4278,3,4278,
3493,MobileBasePass,vkCmdDrawIndexed(),6354,2,4236,
3519,MobileBasePass,vkCmdDrawIndexed(),6354,2,4236,
3783,MobileBasePass,vkCmdDrawIndexed(),11904,1,3968,
1175,MobileRenderPrePass,vkCmdDrawIndexed(),1836,6,3672,
2710,MobileBasePass,vkCmdDrawIndexed(),1836,6,3672,
1484,MobileRenderPrePass,vkCmdDrawIndexed(),10227,1,3409,
2791,MobileBasePass,vkCmdDrawIndexed(),10227,1,3409,
1887,MobileRenderPrePass,vkCmdDrawIndexed(),465,21,3255,
3624,MobileBasePass,vkCmdDrawIndexed(),465,21,3255,
1759,MobileRenderPrePass,vkCmdDrawIndexed(),8931,1,2977,
3433,MobileBasePass,vkCmdDrawIndexed(),8931,1,2977,
1926,MobileRenderPrePass,vkCmdDrawIndexed(),4464,2,2976,
3689,MobileBasePass,vkCmdDrawIndexed(),4464,2,2976,
1046,MobileRenderPrePass,vkCmdDrawIndexed(),8502,1,2834,
2514,MobileBasePass,vkCmdDrawIndexed(),8502,1,2834,
1705,MobileRenderPrePass,vkCmdDrawIndexed(),8490,1,2830,
3277,MobileBasePass,vkCmdDrawIndexed(),8490,1,2830,
914,MobileRenderPrePass,vkCmdDrawIndexed(),378,22,2772,
2651,MobileBasePass,vkCmdDrawIndexed(),378,22,2772,
861,MobileRenderPrePass,vkCmdDrawIndexed(),7488,1,2496,
2862,MobileBasePass,vkCmdDrawIndexed(),7488,1,2496,
1860,MobileRenderPrePass,vkCmdDrawIndexed(),1032,7,2408,
3598,MobileBasePass,vkCmdDrawIndexed(),1032,7,2408,
3829,Translucency,vkCmdDrawIndexed(),6912,1,2304,
1950,MobileRenderPrePass,vkCmdDrawIndexed(),6741,1,2247,
3713,MobileBasePass,vkCmdDrawIndexed(),6741,1,2247,
1057,MobileRenderPrePass,vkCmdDrawIndexed(),6489,1,2163,
3255,MobileBasePass,vkCmdDrawIndexed(),6489,1,2163,
1285,MobileRenderPrePass,vkCmdDrawIndexed(),1890,3,1890,
1216,MobileRenderPrePass,vkCmdDrawIndexed(),2733,2,1822,
3199,MobileBasePass,vkCmdDrawIndexed(),2733,2,1822,
1474,MobileRenderPrePass,vkCmdDrawIndexed(),5370,1,1790,
2602,MobileBasePass,vkCmdDrawIndexed(),5370,1,1790,
1652,MobileRenderPrePass,vkCmdDrawIndexed(),5214,1,1738,
3375,MobileBasePass,vkCmdDrawIndexed(),5214,1,1738,
1742,MobileRenderPrePass,vkCmdDrawIndexed(),5085,1,1695,
3386,MobileBasePass,vkCmdDrawIndexed(),5085,1,1695,
950,MobileRenderPrePass,vkCmdDrawIndexed(),300,16,1600,
2881,MobileBasePass,vkCmdDrawIndexed(),300,16,1600,
3546,MobileBasePass,vkCmdDrawIndexed(),2160,2,1440,
878,MobileRenderPrePass,vkCmdDrawIndexed(),267,15,1335,
3100,MobileBasePass,vkCmdDrawIndexed(),1890,2,1260,
1817,MobileRenderPrePass,vkCmdDrawIndexed(),912,4,1216,
3487,MobileBasePass,vkCmdDrawIndexed(),912,4,1216,
1944,MobileRenderPrePass,vkCmdDrawIndexed(),3540,1,1180,
3707,MobileBasePass,vkCmdDrawIndexed(),3540,1,1180,
1848,MobileRenderPrePass,vkCmdDrawIndexed(),1740,2,1160,
3586,MobileBasePass,vkCmdDrawIndexed(),1740,2,1160,
1842,MobileRenderPrePass,vkCmdDrawIndexed(),1158,3,1158,
3580,MobileBasePass,vkCmdDrawIndexed(),1158,3,1158,
2441,MobileBasePass,vkCmdDrawIndexed(),267,13,1157,
1479,MobileRenderPrePass,vkCmdDrawIndexed(),3393,1,1131,
2786,MobileBasePass,vkCmdDrawIndexed(),3393,1,1131,
770,ShadowDepthPass,vkCmdDrawIndexed(),3390,1,1130,
2059,Velocity,vkCmdDrawIndexed(),3390,1,1130,
2370,Mobile_PreOutline_Pass,vkCmdDrawIndexed(),3390,1,1130,
3560,MobileBasePass,vkCmdDrawIndexed(),3390,1,1130,
867,MobileRenderPrePass,vkCmdDrawIndexed(),3300,1,1100,
3135,MobileBasePass,vkCmdDrawIndexed(),3300,1,1100,
1694,MobileRenderPrePass,vkCmdDrawIndexed(),3294,1,1098,
3400,MobileBasePass,vkCmdDrawIndexed(),3294,1,1098,
1907,MobileRenderPrePass,vkCmdDrawIndexed(),1014,3,1014,
3670,MobileBasePass,vkCmdDrawIndexed(),1014,3,1014,
1854,MobileRenderPrePass,vkCmdDrawIndexed(),756,4,1008,
3592,MobileBasePass,vkCmdDrawIndexed(),756,4,1008,
1624,MobileRenderPrePass,vkCmdDrawIndexed(),2862,1,954,
2803,MobileBasePass,vkCmdDrawIndexed(),2862,1,954,
1591,MobileRenderPrePass,vkCmdDrawIndexed(),2778,1,926,
3020,MobileBasePass,vkCmdDrawIndexed(),2778,1,926,
1530,MobileRenderPrePass,vkCmdDrawIndexed(),2682,1,894,
3235,MobileBasePass,vkCmdDrawIndexed(),2682,1,894,
1805,MobileRenderPrePass,vkCmdDrawIndexed(),2670,1,890,
3480,MobileBasePass,vkCmdDrawIndexed(),2670,1,890,
1008,MobileRenderPrePass,vkCmdDrawIndexed(),798,3,798,
2669,MobileBasePass,vkCmdDrawIndexed(),798,3,798,
1596,MobileRenderPrePass,vkCmdDrawIndexed(),2325,1,775,
3345,MobileBasePass,vkCmdDrawIndexed(),2325,1,775,
3539,MobileBasePass,vkCmdDrawIndexed(),1128,2,752,
1496,MobileRenderPrePass,vkCmdDrawIndexed(),750,3,750,
3211,MobileBasePass,vkCmdDrawIndexed(),750,3,750,
784,ShadowDepthPass,vkCmdDrawIndexed(),2160,1,720,
2096,Velocity,vkCmdDrawIndexed(),2160,1,720,
1025,MobileRenderPrePass,vkCmdDrawIndexed(),2109,1,703,
2507,MobileBasePass,vkCmdDrawIndexed(),2109,1,703,
932,MobileRenderPrePass,vkCmdDrawIndexed(),1008,2,672,
3128,MobileBasePass,vkCmdDrawIndexed(),1008,2,672,
4699,CanvasBatchedElements,vkCmdDrawIndexed(),2016,1,672,
1233,MobileRenderPrePass,vkCmdDrawIndexed(),1992,1,664,
3061,MobileBasePass,vkCmdDrawIndexed(),1992,1,664,
990,MobileRenderPrePass,vkCmdDrawIndexed(),987,2,658,
3093,MobileBasePass,vkCmdDrawIndexed(),987,2,658,
2459,MobileBasePass,vkCmdDrawIndexed(),1890,1,630,
1452,MobileRenderPrePass,vkCmdDrawIndexed(),1659,1,553,
2834,MobileBasePass,vkCmdDrawIndexed(),1659,1,553,
1387,MobileRenderPrePass,vkCmdDrawIndexed(),822,2,548,
3141,MobileBasePass,vkCmdDrawIndexed(),822,2,548,
1437,MobileRenderPrePass,vkCmdDrawIndexed(),1548,1,516,
3325,MobileBasePass,vkCmdDrawIndexed(),1548,1,516,
1256,MobileRenderPrePass,vkCmdDrawIndexed(),504,3,504,
3073,MobileBasePass,vkCmdDrawIndexed(),504,3,504,
1035,MobileRenderPrePass,vkCmdDrawIndexed(),1452,1,484,
2681,MobileBasePass,vkCmdDrawIndexed(),1452,1,484,
1829,MobileRenderPrePass,vkCmdDrawIndexed(),1410,1,470,
3512,MobileBasePass,vkCmdDrawIndexed(),1410,1,470,
791,ShadowDepthPass,vkCmdDrawIndexed(),1404,1,468,
2052,Velocity,vkCmdDrawIndexed(),1404,1,468,
2383,Mobile_PreOutline_Pass,vkCmdDrawIndexed(),1404,1,468,
3573,MobileBasePass,vkCmdDrawIndexed(),1404,1,468,
1051,MobileRenderPrePass,vkCmdDrawIndexed(),1356,1,452,
2519,MobileBasePass,vkCmdDrawIndexed(),1356,1,452,
1536,MobileRenderPrePass,vkCmdDrawIndexed(),1278,1,426,
3180,MobileBasePass,vkCmdDrawIndexed(),1278,1,426,
896,MobileRenderPrePass,vkCmdDrawIndexed(),246,5,410,
2997,MobileBasePass,vkCmdDrawIndexed(),246,5,410,
1303,MobileRenderPrePass,vkCmdDrawIndexed(),1158,1,386,
2921,MobileBasePass,vkCmdDrawIndexed(),1158,1,386,
1365,MobileRenderPrePass,vkCmdDrawIndexed(),1140,1,380,
3168,MobileBasePass,vkCmdDrawIndexed(),1140,1,380,
750,ShadowDepthPass,vkCmdDrawIndexed(),1128,1,376,
2080,Velocity,vkCmdDrawIndexed(),1128,1,376,
2390,Mobile_PreOutline_Pass,vkCmdDrawIndexed(),1128,1,376,
1548,MobileRenderPrePass,vkCmdDrawIndexed(),1122,1,374,
3186,MobileBasePass,vkCmdDrawIndexed(),1122,1,374,
1398,MobileRenderPrePass,vkCmdDrawIndexed(),1104,1,368,
2590,MobileBasePass,vkCmdDrawIndexed(),1104,1,368,
890,MobileRenderPrePass,vkCmdDrawIndexed(),267,4,356,
1371,MobileRenderPrePass,vkCmdDrawIndexed(),1068,1,356,
2447,MobileBasePass,vkCmdDrawIndexed(),267,4,356,
2937,MobileBasePass,vkCmdDrawIndexed(),1068,1,356,
1291,MobileRenderPrePass,vkCmdDrawIndexed(),528,2,352,
2745,MobileBasePass,vkCmdDrawIndexed(),528,2,352,
1542,MobileRenderPrePass,vkCmdDrawIndexed(),1047,1,349,
3318,MobileBasePass,vkCmdDrawIndexed(),1047,1,349,
1331,MobileRenderPrePass,vkCmdDrawIndexed(),1044,1,348,
2757,MobileBasePass,vkCmdDrawIndexed(),1044,1,348,
1991,MobileRenderPrePass,vkCmdDrawIndexed(),1002,1,334,
3754,MobileBasePass,vkCmdDrawIndexed(),1002,1,334,
962,MobileRenderPrePass,vkCmdDrawIndexed(),990,1,330,
1110,MobileRenderPrePass,vkCmdDrawIndexed(),990,1,330,
2473,MobileBasePass,vkCmdDrawIndexed(),990,1,330,
2531,MobileBasePass,vkCmdDrawIndexed(),990,1,330,
1559,MobileRenderPrePass,vkCmdDrawIndexed(),981,1,327,
2850,MobileBasePass,vkCmdDrawIndexed(),981,1,327,
1251,MobileRenderPrePass,vkCmdDrawIndexed(),306,3,306,
3068,MobileBasePass,vkCmdDrawIndexed(),306,3,306,
1381,MobileRenderPrePass,vkCmdDrawIndexed(),915,1,305,
2947,MobileBasePass,vkCmdDrawIndexed(),915,1,305,
1020,MobileRenderPrePass,vkCmdDrawIndexed(),891,1,297,
2494,MobileBasePass,vkCmdDrawIndexed(),891,1,297,
884,MobileRenderPrePass,vkCmdDrawIndexed(),432,2,288,
2427,MobileBasePass,vkCmdDrawIndexed(),432,2,288,
1140,MobileRenderPrePass,vkCmdDrawIndexed(),840,1,280,
2571,MobileBasePass,vkCmdDrawIndexed(),840,1,280,
1508,MobileRenderPrePass,vkCmdDrawIndexed(),834,1,278,
3223,MobileBasePass,vkCmdDrawIndexed(),834,1,278,
1468,MobileRenderPrePass,vkCmdDrawIndexed(),828,1,276,
2780,MobileBasePass,vkCmdDrawIndexed(),828,1,276,
1580,MobileRenderPrePass,vkCmdDrawIndexed(),822,1,274,
3338,MobileBasePass,vkCmdDrawIndexed(),822,1,274,
1979,MobileRenderPrePass,vkCmdDrawIndexed(),756,1,252,
3742,MobileBasePass,vkCmdDrawIndexed(),756,1,252,
1002,MobileRenderPrePass,vkCmdDrawIndexed(),360,2,240,
2663,MobileBasePass,vkCmdDrawIndexed(),360,2,240,
1657,MobileRenderPrePass,vkCmdDrawIndexed(),714,1,238,
3380,MobileBasePass,vkCmdDrawIndexed(),714,1,238,
1181,MobileRenderPrePass,vkCmdDrawIndexed(),705,1,235,
2716,MobileBasePass,vkCmdDrawIndexed(),705,1,235,
1105,MobileRenderPrePass,vkCmdDrawIndexed(),666,1,222,
2526,MobileBasePass,vkCmdDrawIndexed(),666,1,222,
1187,MobileRenderPrePass,vkCmdDrawIndexed(),324,2,216,
2816,MobileBasePass,vkCmdDrawIndexed(),324,2,216,
757,ShadowDepthPass,vkCmdDrawIndexed(),642,1,214,
